epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.5849,1.41496,1.57938,1.51327,0.6009,0.66269,0.67867,0.36854,1.45053,1.62253,1.67574,0.000273964,0.000273964,0.000273964
2,149.511,1.43814,1.19892,1.50696,0.58486,0.50945,0.55664,0.28781,1.69691,2.19679,1.95043,0.00054617,0.00054617,0.00054617
3,211.593,1.46915,1.2741,1.55648,0.61654,0.51966,0.57143,0.27194,1.79908,2.0568,2.01093,0.000812878,0.000812878,0.000812878
4,274.932,1.46468,1.26436,1.55474,0.67024,0.61796,0.6839,0.37168,1.64652,1.64313,1.85271,0.00080826,0.00080826,0.00080826
5,337.844,1.46247,1.1976,1.53807,0.75654,0.71291,0.75534,0.42146,1.44207,1.2069,1.62991,0.000800013,0.000800013,0.000800013
6,406.514,1.41208,1.13722,1.49709,0.75296,0.76435,0.79773,0.45165,1.47098,1.40902,1.63946,0.000791767,0.000791767,0.000791767
7,474.542,1.39471,1.10116,1.49436,0.75316,0.78008,0.80429,0.46494,1.39199,1.02848,1.56329,0.00078352,0.00078352,0.00078352
8,538.611,1.36374,1.02909,1.46723,0.74753,0.7723,0.81851,0.47645,1.416,1.05999,1.58268,0.000775273,0.000775273,0.000775273
9,607.54,1.3601,1.03752,1.45491,0.67709,0.78212,0.81507,0.46317,1.37065,1.09508,1.54888,0.000767026,0.000767026,0.000767026
10,671.424,1.33975,1.00458,1.42936,0.82646,0.77075,0.8395,0.51,1.31179,0.86518,1.4784,0.00075878,0.00075878,0.00075878
11,738.794,1.3057,0.9666,1.44016,0.83382,0.78896,0.86466,0.50673,1.32326,0.88916,1.47596,0.000750533,0.000750533,0.000750533
12,811.55,1.31766,0.96559,1.42935,0.78752,0.78872,0.84593,0.51925,1.27772,0.84713,1.47115,0.000742286,0.000742286,0.000742286
13,890.016,1.30683,0.95559,1.43241,0.81404,0.80065,0.84774,0.51478,1.27443,0.81929,1.45194,0.00073404,0.00073404,0.00073404
14,952.449,1.28797,0.93557,1.4061,0.83132,0.83583,0.88426,0.52621,1.27767,0.80076,1.47494,0.000725793,0.000725793,0.000725793
15,1033.46,1.27935,0.90913,1.39512,0.85224,0.83584,0.89273,0.54411,1.25113,0.80578,1.43725,0.000717546,0.000717546,0.000717546
16,1107.05,1.27579,0.90441,1.39199,0.85678,0.82798,0.89335,0.54592,1.26261,0.74823,1.43964,0.000709299,0.000709299,0.000709299
17,1181.62,1.24475,0.86666,1.3826,0.83157,0.83959,0.87481,0.54638,1.22613,0.74995,1.41103,0.000701053,0.000701053,0.000701053
18,1260.78,1.24525,0.85974,1.3736,0.83817,0.83783,0.8817,0.54057,1.24621,0.7436,1.42059,0.000692806,0.000692806,0.000692806
19,1338.67,1.23451,0.85467,1.37194,0.86607,0.86237,0.90089,0.55131,1.23101,0.73481,1.40766,0.000684559,0.000684559,0.000684559
20,1416.77,1.23579,0.84105,1.37556,0.85831,0.83039,0.88654,0.55784,1.20126,0.71388,1.39334,0.000676313,0.000676313,0.000676313
21,1495.43,1.21802,0.83745,1.36247,0.86269,0.84359,0.90344,0.57171,1.1979,0.71744,1.41466,0.000668066,0.000668066,0.000668066
22,1568.46,1.2215,0.80466,1.35347,0.81378,0.87573,0.89323,0.55122,1.21275,0.71868,1.40416,0.000659819,0.000659819,0.000659819
23,1646.62,1.22358,0.81629,1.3688,0.86651,0.84407,0.89127,0.55891,1.21568,0.69384,1.3851,0.000651573,0.000651573,0.000651573
24,1724.65,1.18889,0.79282,1.33336,0.87173,0.85612,0.9016,0.56352,1.2155,0.67504,1.39877,0.000643326,0.000643326,0.000643326
25,1807.64,1.19376,0.77448,1.34436,0.87884,0.87435,0.91597,0.57771,1.17954,0.66841,1.37455,0.000635079,0.000635079,0.000635079
26,1885.52,1.18426,0.77679,1.35002,0.88595,0.84187,0.90758,0.55973,1.23185,0.71095,1.43636,0.000626832,0.000626832,0.000626832
27,1957.98,1.18106,0.76946,1.32566,0.87426,0.86803,0.90974,0.56317,1.21333,0.67541,1.41347,0.000618586,0.000618586,0.000618586
28,2027.25,1.16689,0.75008,1.32201,0.88466,0.86662,0.91876,0.58657,1.17824,0.63633,1.38747,0.000610339,0.000610339,0.000610339
29,2105.4,1.16516,0.75292,1.32142,0.89421,0.83791,0.90817,0.57249,1.19482,0.68446,1.37955,0.000602092,0.000602092,0.000602092
30,2178.21,1.1584,0.75534,1.32465,0.86372,0.86869,0.91599,0.59121,1.17201,0.65245,1.36684,0.000593846,0.000593846,0.000593846
31,2256.84,1.1442,0.73323,1.32281,0.88804,0.84316,0.91614,0.58132,1.18964,0.64559,1.37939,0.000585599,0.000585599,0.000585599
32,2331.83,1.14592,0.72999,1.31412,0.84714,0.88591,0.91964,0.58066,1.18217,0.65799,1.38048,0.000577352,0.000577352,0.000577352
33,2400.45,1.14747,0.73706,1.31259,0.85761,0.87118,0.91255,0.59348,1.16628,0.62699,1.36234,0.000569106,0.000569106,0.000569106
34,2470.03,1.1484,0.73385,1.29972,0.88383,0.86886,0.9209,0.59384,1.16404,0.62812,1.3596,0.000560859,0.000560859,0.000560859
35,2548.39,1.12556,0.71841,1.30539,0.84021,0.88552,0.91055,0.58129,1.16643,0.61587,1.35586,0.000552612,0.000552612,0.000552612
36,2626.07,1.11629,0.69859,1.29387,0.85039,0.8869,0.9163,0.58458,1.17064,0.61658,1.37681,0.000544365,0.000544365,0.000544365
37,2698.81,1.11389,0.68218,1.29466,0.90374,0.86439,0.9261,0.58703,1.19325,0.61156,1.37524,0.000536119,0.000536119,0.000536119
38,2776.67,1.1187,0.70081,1.2941,0.89373,0.84423,0.91055,0.574,1.18666,0.63949,1.36843,0.000527872,0.000527872,0.000527872
39,2844.39,1.10275,0.69813,1.28235,0.88902,0.86858,0.92241,0.60321,1.14614,0.60488,1.35271,0.000519625,0.000519625,0.000519625
40,2918.52,1.0891,0.67694,1.27853,0.86168,0.88494,0.9225,0.58497,1.16351,0.6077,1.36582,0.000511379,0.000511379,0.000511379
41,2987.72,1.09466,0.68098,1.27417,0.88854,0.87352,0.92183,0.59806,1.14789,0.59852,1.36712,0.000503132,0.000503132,0.000503132
42,3065.33,1.1014,0.67607,1.27642,0.9029,0.87764,0.92542,0.58291,1.17162,0.5906,1.36162,0.000494885,0.000494885,0.000494885
43,3133.13,1.0856,0.66917,1.27049,0.87625,0.89197,0.92996,0.60443,1.13213,0.57695,1.34322,0.000486639,0.000486639,0.000486639
44,3201.42,1.07599,0.64727,1.26419,0.88074,0.88076,0.92043,0.5893,1.1565,0.58968,1.36013,0.000478392,0.000478392,0.000478392
45,3274.05,1.07037,0.65064,1.267,0.90802,0.86418,0.93141,0.59708,1.13723,0.59677,1.35526,0.000470145,0.000470145,0.000470145
46,3342.02,1.06637,0.63697,1.25585,0.88451,0.89578,0.93041,0.60772,1.1434,0.56358,1.36456,0.000461898,0.000461898,0.000461898
47,3417.38,1.05511,0.63125,1.24833,0.88514,0.88376,0.92768,0.61275,1.13551,0.56483,1.35101,0.000453652,0.000453652,0.000453652
48,3485.81,1.05986,0.63861,1.24977,0.8886,0.88224,0.92555,0.60577,1.15371,0.57741,1.35392,0.000445405,0.000445405,0.000445405
49,3552.59,1.05789,0.63526,1.2591,0.89872,0.86981,0.93446,0.61234,1.12539,0.56355,1.34591,0.000437158,0.000437158,0.000437158
50,3625.8,1.04084,0.62246,1.24061,0.8981,0.88675,0.93694,0.61277,1.1285,0.54943,1.34231,0.000428912,0.000428912,0.000428912
51,3698.65,1.041,0.62626,1.25039,0.90108,0.88413,0.93507,0.61255,1.13393,0.56187,1.35221,0.000420665,0.000420665,0.000420665
52,3765.88,1.03712,0.63088,1.24372,0.8809,0.8839,0.92871,0.61252,1.12564,0.55967,1.33703,0.000412418,0.000412418,0.000412418
53,3839.19,1.04063,0.60712,1.24574,0.89239,0.89779,0.93755,0.61179,1.14027,0.5498,1.34129,0.000404172,0.000404172,0.000404172
54,3917.29,1.03408,0.61713,1.23316,0.8966,0.90244,0.93768,0.61331,1.12738,0.54459,1.34169,0.000395925,0.000395925,0.000395925
55,3986.71,1.03522,0.61326,1.22738,0.86641,0.90804,0.93326,0.60583,1.13668,0.55642,1.35317,0.000387678,0.000387678,0.000387678
56,4064.41,1.01476,0.59457,1.2293,0.87941,0.8957,0.93647,0.61113,1.12768,0.53927,1.34976,0.000379431,0.000379431,0.000379431
57,4132.97,1.01552,0.60015,1.23455,0.89449,0.88474,0.93692,0.61574,1.12656,0.55154,1.34452,0.000371185,0.000371185,0.000371185
58,4231.9,1.00836,0.58131,1.2171,0.88827,0.8841,0.93386,0.60417,1.14913,0.55668,1.3451,0.000362938,0.000362938,0.000362938
59,4301.26,0.98838,0.57657,1.21819,0.90128,0.87322,0.93727,0.61749,1.12534,0.53626,1.35705,0.000354691,0.000354691,0.000354691
60,4374.25,1.00277,0.59064,1.2269,0.90007,0.89195,0.93869,0.61344,1.1416,0.54378,1.36616,0.000346445,0.000346445,0.000346445
61,4441.89,1.00453,0.58084,1.20885,0.89507,0.89238,0.93615,0.61849,1.12685,0.53816,1.34014,0.000338198,0.000338198,0.000338198
62,4516.69,0.99106,0.57023,1.19793,0.89756,0.90105,0.94579,0.61996,1.11932,0.52574,1.33716,0.000329951,0.000329951,0.000329951
63,4588.32,0.97607,0.55827,1.19915,0.89121,0.90105,0.94265,0.61649,1.13179,0.53279,1.35083,0.000321705,0.000321705,0.000321705
64,4665.91,1.00312,0.56962,1.21055,0.89296,0.91765,0.94552,0.62182,1.10774,0.52397,1.33132,0.000313458,0.000313458,0.000313458
65,4739.58,0.9767,0.55903,1.20504,0.87162,0.90175,0.93609,0.61679,1.12424,0.54034,1.344,0.000305211,0.000305211,0.000305211
66,4807.04,0.96332,0.55612,1.20146,0.89464,0.89363,0.94146,0.62512,1.1119,0.53428,1.34249,0.000296964,0.000296964,0.000296964
67,4875.51,0.95883,0.53955,1.19321,0.89445,0.91179,0.94636,0.6222,1.12488,0.52166,1.33668,0.000288718,0.000288718,0.000288718
68,4944.44,0.96713,0.54836,1.18759,0.89417,0.89978,0.93963,0.62137,1.13096,0.52912,1.35219,0.000280471,0.000280471,0.000280471
69,5012.28,0.95373,0.54128,1.19278,0.9002,0.89452,0.94089,0.6207,1.12211,0.52781,1.3501,0.000272224,0.000272224,0.000272224
70,5080.34,0.93477,0.5372,1.17494,0.91779,0.8989,0.94741,0.62788,1.10771,0.51568,1.33868,0.000263978,0.000263978,0.000263978
71,5149.35,0.91944,0.51809,1.17162,0.89814,0.90161,0.94536,0.61924,1.12203,0.51622,1.35583,0.000255731,0.000255731,0.000255731
72,5212.77,0.94509,0.53603,1.18025,0.88775,0.90395,0.94277,0.62523,1.12795,0.52098,1.36307,0.000247484,0.000247484,0.000247484
73,5275.21,0.92511,0.52395,1.16638,0.90323,0.90241,0.94832,0.62223,1.12561,0.51946,1.36096,0.000239238,0.000239238,0.000239238
74,5342.39,0.91784,0.52124,1.17436,0.90927,0.88646,0.94536,0.62978,1.10075,0.51172,1.33376,0.000230991,0.000230991,0.000230991
75,5412.19,0.92525,0.51962,1.16966,0.87826,0.91766,0.9446,0.62443,1.12854,0.5154,1.35647,0.000222744,0.000222744,0.000222744
76,5481.22,0.91012,0.52077,1.16414,0.89729,0.91786,0.95108,0.62187,1.127,0.51015,1.35604,0.000214497,0.000214497,0.000214497
77,5551.05,0.89702,0.50322,1.16161,0.88853,0.92337,0.94856,0.62829,1.11949,0.51365,1.35347,0.000206251,0.000206251,0.000206251
78,5617.78,0.90385,0.50678,1.15759,0.90612,0.90313,0.94235,0.62367,1.1223,0.51119,1.35049,0.000198004,0.000198004,0.000198004
79,5685.79,0.89978,0.50611,1.16078,0.89621,0.91153,0.94303,0.62362,1.12224,0.51016,1.36001,0.000189757,0.000189757,0.000189757
80,5753.77,0.90612,0.50817,1.1597,0.88646,0.90695,0.94201,0.62492,1.12112,0.52433,1.36848,0.000181511,0.000181511,0.000181511
81,5821.7,0.87782,0.48958,1.14927,0.899,0.92062,0.94893,0.62673,1.12935,0.51,1.37207,0.000173264,0.000173264,0.000173264
82,5891.2,0.89117,0.50157,1.15606,0.89098,0.9159,0.9437,0.62977,1.11967,0.51311,1.35799,0.000165017,0.000165017,0.000165017
83,5959.31,0.87877,0.48821,1.14841,0.91319,0.89265,0.94569,0.61938,1.1298,0.51647,1.3661,0.000156771,0.000156771,0.000156771
84,6026.89,0.87194,0.49125,1.14105,0.89616,0.90084,0.94403,0.6245,1.12573,0.52327,1.36066,0.000148524,0.000148524,0.000148524
85,6089.39,0.86858,0.48466,1.13711,0.89829,0.90453,0.94358,0.62843,1.12058,0.50994,1.35323,0.000140277,0.000140277,0.000140277
86,6151.3,0.86742,0.47847,1.13154,0.91671,0.89427,0.94528,0.62269,1.12609,0.51919,1.37051,0.000132031,0.000132031,0.000132031
87,6218.58,0.85647,0.47772,1.11962,0.89929,0.90989,0.94371,0.63143,1.10853,0.50477,1.35587,0.000123784,0.000123784,0.000123784
88,6287.29,0.84806,0.47187,1.11898,0.89823,0.90329,0.94443,0.62769,1.12651,0.51065,1.36478,0.000115537,0.000115537,0.000115537
89,6355.94,0.83741,0.46693,1.11541,0.92191,0.88897,0.94294,0.62456,1.12049,0.50921,1.36256,0.00010729,0.00010729,0.00010729
90,6423.68,0.83755,0.46584,1.12024,0.91947,0.89221,0.94578,0.62322,1.12354,0.50203,1.36093,9.90437e-05,9.90437e-05,9.90437e-05
91,6493.87,0.78293,0.39374,1.10147,0.92036,0.87606,0.94508,0.62249,1.11935,0.50968,1.36721,9.0797e-05,9.0797e-05,9.0797e-05
